city,dist,avg-square-money
台北市,中正區,602102.7722605116
台北市,大同區,334305.2638325485
台北市,中山區,631639.226959956
台北市,松山區,750861.4526582126
台北市,大安區,911129.1577650656
台北市,萬華區,448988.5395041225
台北市,信義區,589907.183875529
台北市,士林區,529587.5735883197
台北市,北投區,411560.81962424907
台北市,內湖區,562238.1565521829
台北市,南港區,557587.1890518564
台北市,文山區,446190.06420931336
新北市,萬里區,67408.16289239147
新北市,金山區,93955.24018266612
新北市,板橋區,296194.2896460634
新北市,汐止區,285903.5073081551
新北市,深坑區,284912.8894171601
新北市,瑞芳區,68067.18572646192
新北市,雙溪區,152555.30129672008
新北市,新店區,362736.5455367832
新北市,中和區,397168.0991482719
新北市,土城區,328512.8190460467
新北市,三峽區,237148.11626174595
新北市,樹林區,238175.87063345328
新北市,鶯歌區,163501.52487039988
新北市,三重區,368532.83483205823
新北市,新莊區,396049.4093545944
新北市,泰山區,290597.1115293475
新北市,林口區,270074.0197930616
新北市,蘆洲區,345862.2597761946
新北市,五股區,283758.61466294306
新北市,八里區,198283.37825176466
新北市,淡水區,224095.91627197628
新北市,三芝區,95769.78966275377
新北市,石門區,96006.45421540944
新北市,永和區,463405.53395780455
基隆市,仁愛區,121182.45953956137
基隆市,信義區,107736.46504711555
基隆市,中正區,160635.3898726418
基隆市,中山區,76366.62047915928
基隆市,安樂區,114343.89694645484
基隆市,暖暖區,105031.76234804025
基隆市,七堵區,159136.59435150147
宜蘭縣,宜蘭市,161731.61034067802
宜蘭縣,壯圍鄉,133187.77139818907
宜蘭縣,頭城鎮,148745.9029381419
宜蘭縣,礁溪鄉,278128.3422127322
宜蘭縣,員山鄉,139069.17323393066
宜蘭縣,羅東鎮,166313.21201983144
宜蘭縣,三星鄉,124947.5790534098
宜蘭縣,五結鄉,125648.3325725473
宜蘭縣,冬山鄉,149712.3549002441
宜蘭縣,蘇澳鎮,69229.40425208904
新竹縣,寶山鄉,183242.71671908937
新竹縣,竹北市,198435.35500122607
新竹縣,湖口鄉,128656.27212469817
新竹縣,新豐鄉,146572.8664473262
新竹縣,新埔鎮,87739.68887153569
新竹縣,關西鎮,139571.54398905937
新竹縣,芎林鄉,85779.66863420382
新竹縣,竹東鎮,141559.46434361662
新竹縣,橫山鄉,85538.45232633318
新竹縣,尖石鄉,101916.0211985324
新竹縣,北埔鄉,151510.35057117068
新竹縣,峨眉鄉,478978.17988291645
苗栗縣,竹南鎮,128823.14290240697
苗栗縣,頭份鎮,99999.69772284631
苗栗縣,三灣鄉,72358.9001447178
苗栗縣,獅潭鄉,58954.78461189179
苗栗縣,後龍鎮,40764.032052097595
苗栗縣,通霄鎮,61526.31537747928
苗栗縣,苑裡鎮,106182.60393107674
苗栗縣,苗栗市,104247.6002277751
苗栗縣,造橋鄉,61636.53844226629
苗栗縣,頭屋鄉,29493.38227624811
苗栗縣,公館鄉,155002.2645692961
苗栗縣,大湖鄉,124535.72208870438
苗栗縣,銅鑼鄉,148320.58163790393
苗栗縣,三義鄉,83896.70135634892
苗栗縣,卓蘭鎮,81706.608805418
台中市,中區,104548.26856648563
台中市,東區,163722.97013996713
台中市,南區,141501.29225487183
台中市,西區,165261.56135365414
台中市,北區,151940.52460815085
台中市,北屯區,210011.94578009573
台中市,西屯區,204178.6787052943
台中市,南屯區,183214.7685275982
台中市,太平區,159265.3326640814
台中市,大里區,139985.96730462453
台中市,霧峰區,132172.42125588385
台中市,烏日區,190649.08628010526
台中市,豐原區,165226.3285354351
台中市,后里區,99159.36569710271
台中市,石岡區,91878.45231434314
台中市,東勢區,91463.58416273328
台中市,新社區,76932.92727029027
台中市,潭子區,154137.4100641597
台中市,大雅區,142616.57304849013
台中市,神岡區,186599.51220520522
台中市,大肚區,131217.87659236678
台中市,沙鹿區,150905.95880075134
台中市,龍井區,150067.96719012575
台中市,梧棲區,136061.9665132681
台中市,清水區,121249.86382891575
台中市,大甲區,101164.21952061176
台中市,外埔區,56122.448979591834
台中市,大安區,59746.235274010076
彰化縣,彰化市,149534.74950995896
彰化縣,芬園鄉,73187.00723813429
彰化縣,花壇鄉,127151.51919384289
彰化縣,秀水鄉,127042.82648847002
彰化縣,鹿港鎮,113480.03399787928
彰化縣,福興鄉,97633.79910899713
彰化縣,線西鄉,63677.132214059144
彰化縣,和美鎮,130898.63090328462
彰化縣,伸港鄉,110935.51876525144
彰化縣,員林鎮,130205.06590024183
彰化縣,社頭鄉,104314.67769208248
彰化縣,永靖鄉,87511.84614074304
彰化縣,埔心鄉,120749.47130458921
彰化縣,溪湖鎮,98117.51568592955
彰化縣,大村鄉,114165.43400754126
彰化縣,埔鹽鄉,43056.139981765904
彰化縣,田中鎮,86851.14160660998
彰化縣,北斗鎮,104407.8400461604
彰化縣,田尾鄉,101757.53559907316
彰化縣,埤頭鄉,77256.0073279511
彰化縣,溪州鄉,91825.88285354579
彰化縣,竹塘鄉,46575.89289916507
彰化縣,二林鎮,70622.5801895272
彰化縣,大城鄉,22260.928088812398
彰化縣,芳苑鄉,30897.39489726274
彰化縣,二水鄉,56934.83576384681
南投縣,南投市,115970.06347686565
南投縣,中寮鄉,40049.291435613064
南投縣,草屯鎮,114299.904538147
南投縣,國姓鄉,68963.11364226727
南投縣,埔里鎮,105917.91301978349
南投縣,名間鄉,55141.02723619532
南投縣,集集鎮,82698.31484291404
南投縣,水里鄉,44595.45246015296
南投縣,魚池鄉,94373.86569872958
南投縣,竹山鎮,75241.44016846264
南投縣,鹿谷鄉,103374.00970807287
雲林縣,斗南鎮,74398.25681460006
雲林縣,大埤鄉,56856.02583995307
雲林縣,虎尾鎮,135613.05658024026
雲林縣,土庫鎮,96840.21272110623
雲林縣,褒忠鄉,71586.84165672405
雲林縣,東勢鄉,37756.90825690438
雲林縣,崙背鄉,47010.558391398015
雲林縣,麥寮鄉,91671.90128121494
雲林縣,斗六市,123906.16020472963
雲林縣,林內鄉,101199.2585026293
雲林縣,古坑鄉,68234.73644796995
雲林縣,莿桐鄉,86850.74850793756
雲林縣,西螺鎮,116350.71702424808
雲林縣,二崙鄉,72491.41549027088
雲林縣,北港鎮,104550.27476548344
雲林縣,水林鄉,46051.50946614361
雲林縣,口湖鄉,19656.15754133115
雲林縣,四湖鄉,60580.60949690635
雲林縣,元長鄉,46363.73504272645
嘉義縣,番路鄉,77659.08159573977
嘉義縣,梅山鄉,66688.03044941933
嘉義縣,竹崎鄉,80349.83587122537
嘉義縣,中埔鄉,98929.65370016001
嘉義縣,水上鄉,65158.01169927965
嘉義縣,鹿草鄉,83209.75449003131
嘉義縣,太保市,95261.65981221679
嘉義縣,朴子市,106966.54370101057
嘉義縣,東石鄉,22771.83279059364
嘉義縣,六腳鄉,59970.98465733584
嘉義縣,新港鄉,148011.82687039304
嘉義縣,民雄鄉,98211.96932385892
嘉義縣,大林鎮,77992.63050174317
嘉義縣,溪口鄉,52103.43496719413
嘉義縣,布袋鎮,20278.165764767884
台南市,中西區,151715.11311338545
台南市,東區,163117.27915197465
台南市,南區,114310.26653631238
台南市,北區,130772.47872416713
台南市,安平區,128786.77857340784
台南市,安南區,142353.07747963452
台南市,永康區,163840.62512102874
台南市,歸仁區,140804.9999716789
台南市,新化區,91943.40360871128
台南市,左鎮區,43523.31606217616
台南市,玉井區,63171.45218799854
台南市,楠西區,69476.60954145438
台南市,南化區,76067.31957782638
台南市,仁德區,135290.37381884022
台南市,關廟區,80524.3627359183
台南市,官田區,55367.355263619975
台南市,麻豆區,108464.7695983793
台南市,佳里區,107863.29245738611
台南市,西港區,62936.75512613985
台南市,七股區,67796.51349444203
台南市,將軍區,36617.81986590171
台南市,學甲區,45496.45652586131
台南市,北門區,23619.18604651163
台南市,新營區,102521.30989408352
台南市,後壁區,63576.79707148064
台南市,白河區,70290.65589132295
台南市,東山區,59610.70559610705
台南市,六甲區,108931.66811480498
台南市,下營區,54610.98024591833
台南市,柳營區,60260.12267284873
台南市,鹽水區,54694.70938121595
台南市,善化區,139837.8345067949
台南市,新市區,78959.85818623628
台南市,大內區,43140.638481449525
台南市,山上區,28101.42052519464
台南市,安定區,101556.61817937603
高雄市,新興區,148668.97500466357
高雄市,前金區,160382.0786331361
高雄市,苓雅區,148042.5972732563
高雄市,鹽埕區,72164.39441090931
高雄市,鼓山區,175788.40218631612
高雄市,旗津區,105134.61258373085
高雄市,前鎮區,150759.95360882886
高雄市,三民區,132615.22093886466
高雄市,楠梓區,167481.19954237842
高雄市,小港區,143502.3824160805
高雄市,左營區,176327.07089875478
高雄市,仁武區,193795.62257600535
高雄市,大社區,128239.31521447269
高雄市,岡山區,114413.3915031123
高雄市,路竹區,172660.84375980793
高雄市,阿蓮區,80371.58113002732
高雄市,燕巢區,91063.91830425219
高雄市,橋頭區,145523.59746144427
高雄市,梓官區,88533.21359738435
高雄市,彌陀區,115462.16080332687
高雄市,永安區,74793.5942109079
高雄市,湖內區,110651.43242432714
高雄市,鳳山區,151335.70369802925
高雄市,大寮區,84953.60638306024
高雄市,林園區,68219.79979890601
高雄市,鳥松區,128885.99221940784
高雄市,大樹區,100517.49798547181
高雄市,旗山區,53868.752471913205
高雄市,美濃區,65417.50599805547
高雄市,內門區,131265.10209796013
高雄市,甲仙區,21429.653345991483
高雄市,茄萣區,54370.21988097262
屏東縣,屏東市,94964.03143266434
屏東縣,九如鄉,61878.27954571176
屏東縣,里港鄉,53133.96644805425
屏東縣,高樹鄉,27806.050319123744
屏東縣,鹽埔鄉,39078.948592665685
屏東縣,長治鄉,95230.25799004262
屏東縣,麟洛鄉,106169.66145082947
屏東縣,竹田鄉,67922.39093689962
屏東縣,內埔鄉,129582.76500269628
屏東縣,萬丹鄉,78530.17010727295
屏東縣,潮州鎮,89468.72760263132
屏東縣,萬巒鄉,45816.79868856054
屏東縣,崁頂鄉,51271.81643938159
屏東縣,新埤鄉,26679.92057631849
屏東縣,南州鄉,120877.18873470467
屏東縣,林邊鄉,60146.44351464435
屏東縣,東港鎮,128787.54398747328
屏東縣,琉球鄉,48226.38501394978
屏東縣,佳冬鄉,55983.44637314634
屏東縣,新園鄉,89961.72395865977
屏東縣,枋寮鄉,45685.463181610554
屏東縣,車城鄉,81410.76981910801
屏東縣,牡丹鄉,95576.86986825043
屏東縣,恆春鎮,112147.51614961999
花蓮縣,花蓮市,139836.04112873375
花蓮縣,新城鄉,94002.59560647418
花蓮縣,吉安鄉,148217.61462658743
花蓮縣,壽豐鄉,102210.14410586159
花蓮縣,鳳林鎮,48234.74911416728
花蓮縣,光復鄉,57355.4323465065
花蓮縣,豐濱鄉,60563.55986229759
花蓮縣,瑞穗鄉,32506.894845179013
花蓮縣,玉里鎮,83599.80154640478
花蓮縣,富里鄉,57612.12520651559
台東縣,卑南鄉,78150.60593179961
台東縣,鹿野鄉,47141.68992198332
台東縣,關山鎮,28013.85470322422
台東縣,池上鄉,94404.71772678307
台東縣,東河鄉,71101.96520551045
台東縣,成功鎮,48339.04283223373
台東縣,長濱鄉,83111.56473063312
台東縣,太麻里鄉,56499.976447347784
澎湖縣,馬公市,103968.83192380832
澎湖縣,西嶼鄉,23510.971786833856
澎湖縣,白沙鄉,74020.2926359339
澎湖縣,湖西鄉,27146.667965722954
金門縣,金湖鎮,202462.17739543162
金門縣,金寧鄉,167845.9044632211
金門縣,金城鎮,229756.97488833684
